         1748559 function calls (1652450 primitive calls) in 26.401 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      135    0.000    0.000    0.013    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\text.py:132(__init__)
   221117    0.013    0.000    0.013    0.000 {method 'append' of 'list' objects}
       24    0.000    0.000    0.013    0.001 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axis.py:930(set_tick_params)
      163    0.013    0.000    0.013    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
        8    0.000    0.000    0.012    0.002 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axes\_base.py:3155(grid)
       36    0.000    0.000    0.012    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axis.py:1498(get_minorticklocs)
       16    0.000    0.000    0.012    0.001 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axis.py:1659(grid)
      175    0.002    0.000    0.012    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\lines.py:656(recache)
       36    0.000    0.000    0.012    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\ticker.py:427(__init__)
      163    0.001    0.000    0.012    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\font_manager.py:1271(_find_fonts_by_props)
   154096    0.012    0.000    0.012    0.000 {method 'get' of 'dict' objects}
       36    0.000    0.000    0.011    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\ticker.py:533(set_useMathText)
    32/10    0.000    0.000    0.011    0.001 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      195    0.001    0.000    0.011    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\text.py:185(_reset_visual_defaults)
        4    0.000    0.000    0.011    0.003 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axis.py:655(__init__)
       27    0.000    0.000    0.011    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axis.py:1577(_copy_tick_props)
       87    0.000    0.000    0.011    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\lines.py:1334(update_from)
15857/12733    0.006    0.000    0.011    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\artist.py:319(stale)
       25    0.000    0.000    0.011    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\text.py:101(_get_text_metrics_with_cache_impl)
3138/2818    0.001    0.000    0.011    0.000 {built-in method builtins.next}
